# Vertex List
# V,vertexid,longitude,latitude,x*,y*
V,0,-76.929192819,38.8924826094,,
V,2,-76.9296620544,38.8925491793,,
V,3,-76.981166842,38.9025611176,,
V,13,-76.9806830055,38.9033419167,,
V,14,-76.9796279047,38.8655023225,,
V,16,-76.9796776153,38.8653335596,,
V,17,-77.0189335838,38.8983222165,,
V,19,-77.0194016108,38.8983187914,,
V,20,-77.1014062303,38.924958382,,
V,37,-77.1028559907,38.9262992178,,
V,38,-76.9575128346,38.8868014336,,
V,43,-76.956071499,38.8868036029,,
V,44,-77.0286303547,38.9617213634,,
V,58,-77.029695521,38.962182951,,
V,59,-76.9984524364,38.8930893835,,
V,69,-76.9961704981,38.8922242132,,
V,70,-77.0681607876,38.9390930525,,
V,72,-77.0685075873,38.9390930158,,
V,73,-77.0261459838,38.9684738155,,
V,76,-77.0260635553,38.9686399657,,
V,77,-76.9908002122,38.9030180358,,
V,86,-76.9915263921,38.9029300881,,
V,87,-77.0007707257,38.9322592501,,
V,97,-77.0005530023,38.931712656,,
V,98,-77.0005756041,38.8410520903,,
V,112,-77.0000969482,38.8404026871,,
V,113,-77.021373385,38.9242199576,,
V,115,-77.0223271184,38.9245525663,,
